,property,value,description
479,yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,3,"The number of client retries on socket timeouts to the AM - before
    reconnecting to the RM to fetch Application Status.
    In other words, it is the ipc.client.connect.max.retries.on.timeouts to be used during
    reconnecting to the RM and fetching Application Status."
480,yarn.app.mapreduce.client.max-retries,3,"The number of client retries to the RM/HS before
    throwing exception. This is a layer above the ipc."
481,yarn.app.mapreduce.am.resource.mb,1536,The amount of memory the MR AppMaster needs.
482,yarn.app.mapreduce.am.resource.cpu-vcores,1,The number of virtual CPU cores the MR AppMaster needs.
483,yarn.app.mapreduce.am.hard-kill-timeout-ms,10000,Number of milliseconds to wait before the job client kills the application.
484,yarn.app.mapreduce.client.job.max-retries,3,"The number of retries the client will make for getJob and
    dependent calls.
    This is needed for non-HDFS DFS where additional, high level
    retries are required to avoid spurious failures during the getJob call.
    30 is a good value for WASB"
485,yarn.app.mapreduce.client.job.retry-interval,2000,"The delay between getJob retries in ms for retries configured
  with yarn.app.mapreduce.client.job.max-retries."
486,mapreduce.jobhistory.intermediate-user-done-dir.permissions,770,"The permissions of the user directories in
  ${mapreduce.jobhistory.intermediate-done-dir}. The user and the group
  permission must be 7, this is enforced."
487,mapreduce.jobhistory.cleaner.interval-ms,86400000,"How often the job history cleaner checks for files to delete,
  in milliseconds. Defaults to 86400000 (one day). Files are only deleted if
  they are older than mapreduce.jobhistory.max-age-ms."
488,mapreduce.jobhistory.max-age-ms,604800000,"Job history files older than this many milliseconds will
  be deleted when the history cleaner runs. Defaults to 604800000 (1 week)."
489,mapreduce.jobhistory.client.thread-count,10,The number of threads to handle client API requests
490,mapreduce.jobhistory.datestring.cache.size,200000,"Size of the date string cache. Effects the number of directories
  which will be scanned to find a job."
491,mapreduce.jobhistory.joblist.cache.size,20000,Size of the job list cache
492,mapreduce.jobhistory.loadedjobs.cache.size,5,"Size of the loaded job cache.  This property is ignored if
  the property mapreduce.jobhistory.loadedtasks.cache.size is set to a
  positive value."
493,mapreduce.jobhistory.move.interval-ms,180000,"Scan for history files to more from intermediate done dir to done
  dir at this frequency."
494,mapreduce.jobhistory.move.thread-count,3,The number of threads used to move files.
495,mapreduce.jobhistory.jobname.limit,50,Number of characters allowed for job name in Job History Server web page.
496,yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,10,"The initial size of thread pool to launch containers in the
    app master."
497,mapreduce.task.exit.timeout,60000,"The number of milliseconds before a task will be
  terminated if it stays in finishing state for too long.
  After a task attempt completes from TaskUmbilicalProtocol's point of view,
  it will be transitioned to finishing state. That will give a chance for the
  task to exit by itself."
498,mapreduce.task.exit.timeout.check-interval-ms,20000,"The interval in milliseconds between which the MR framework
  checks if task attempts stay in finishing state for too long."
499,mapreduce.job.encrypted-intermediate-data-key-size-bits,128,Mapreduce encrypt data key size default is 128
500,mapreduce.job.encrypted-intermediate-data.buffer.kb,128,"Buffer size for intermediate encrypt data in kb
  default is 128"
501,mapreduce.job.cache.limit.max-resources,0,"The maximum number of resources a map reduce job is allowed to
    submit for localization via files, libjars, archives, and jobjar command
    line arguments and through the distributed cache. If set to 0 the limit is
    ignored."
502,mapreduce.job.cache.limit.max-resources-mb,0,"The maximum size (in MB) a map reduce job is allowed to submit
    for localization via files, libjars, archives, and jobjar command line
    arguments and through the distributed cache. If set to 0 the limit is
    ignored."
503,mapreduce.job.cache.limit.max-single-resource-mb,0,"The maximum size (in MB) of a single resource a map reduce job
    is allow to submit for localization via files, libjars, archives, and
    jobjar command line arguments and through the distributed cache. If set to
    0 the limit is ignored."
504,yarn.resourcemanager.client.thread-count,50,
505,yarn.resourcemanager.amlauncher.thread-count,50,
506,yarn.resourcemanager.nodemanager-connect-retries,10,
507,yarn.dispatcher.drain-events.timeout,300000,
508,yarn.dispatcher.print-events-info.threshold,5000,
509,yarn.dispatcher.cpu-monitor.samples-per-min,60,
510,yarn.am.liveness-monitor.expiry-interval-ms,600000,
511,yarn.resourcemanager.scheduler.client.thread-count,50,
512,yarn.resourcemanager.placement-constraints.retry-attempts,3,
513,yarn.resourcemanager.placement-constraints.algorithm.pool-size,1,
514,yarn.resourcemanager.placement-constraints.scheduler.pool-size,1,
515,yarn.resourcemanager.admin.client.thread-count,1,
516,yarn.resourcemanager.connect.max-wait.ms,900000,
517,yarn.resourcemanager.connect.retry-interval.ms,30000,
518,yarn.resourcemanager.am.max-attempts,2,
519,yarn.resourcemanager.container.liveness-monitor.interval-ms,600000,
520,yarn.nm.liveness-monitor.expiry-interval-ms,600000,
521,yarn.resourcemanager.resource-tracker.client.thread-count,50,
522,yarn.scheduler.minimum-allocation-mb,1024,
523,yarn.scheduler.maximum-allocation-mb,8192,
524,yarn.scheduler.minimum-allocation-vcores,1,
525,yarn.scheduler.maximum-allocation-vcores,4,
526,yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,10000,
527,yarn.resourcemanager.fs.state-store.num-retries,0,
528,yarn.resourcemanager.fs.state-store.retry-interval-ms,1000,
529,yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,3600,
530,yarn.resourcemanager.zk-appid-node.split-index,0,
531,yarn.resourcemanager.zk-delegation-token-node.split-index,0,
532,yarn.resourcemanager.zk-max-znode-size.bytes,1048576,
533,yarn.resourcemanager.epoch.range,0,
534,yarn.client.failover-retries,0,
535,yarn.client.failover-retries-on-socket-timeouts,0,
536,yarn.resourcemanager.max-completed-applications,1000,
537,yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,30000,
538,yarn.resourcemanager.delegation-token.max-conf-size-bytes,12800,
539,yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,86400,
540,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,86400,
541,yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,1000,
542,yarn.resourcemanager.nodemanagers.heartbeat-interval-min-ms,1000,
543,yarn.resourcemanager.nodemanagers.heartbeat-interval-max-ms,1000,
544,yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,10,
545,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.batch-size,1000,
546,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.interval-seconds,60,
547,yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,10,
548,yarn.resourcemanager.delegation-token-renewer.thread-count,50,
549,yarn.resourcemanager.delegation.key.update-interval,86400000,
550,yarn.resourcemanager.delegation.token.max-lifetime,604800000,
551,yarn.resourcemanager.delegation.token.renew-interval,86400000,
552,yarn.resourcemanager.delegation-token-renewer.thread-retry-max-attempts,10,
553,yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,10,
554,yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,86400,
555,yarn.resourcemanager.reservation-system.planfollower.time-step,1000,
556,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,600000,
557,yarn.nodemanager.container-manager.thread-count,20,
558,yarn.nodemanager.collector-service.thread-count,5,
559,yarn.nodemanager.delete.thread-count,4,
560,yarn.nodemanager.container-executor.exit-code-file.timeout-ms,2000,
561,yarn.nodemanager.opportunistic-containers-max-queue-length,0,
562,yarn.nodemanager.delete.debug-delay-sec,0,
563,yarn.nodemanager.local-cache.max-files-per-directory,8192,
564,yarn.nodemanager.localizer.cache.cleanup.interval-ms,600000,
565,yarn.nodemanager.localizer.cache.target-size-mb,10240,
566,yarn.nodemanager.localizer.client.thread-count,5,
567,yarn.nodemanager.localizer.fetch.thread-count,4,
568,yarn.nodemanager.default-container-executor.log-dirs.permissions,710,
569,yarn.log-aggregation.debug.filesize,104857600,
570,yarn.log-aggregation-status.time-out.ms,600000,
571,yarn.nodemanager.log.retain-seconds,10800,
572,yarn.nodemanager.resource.memory.cgroups.swappiness,0,
573,yarn.nodemanager.logaggregation.threadpool-size-max,100,
574,yarn.nodemanager.resource.percentage-physical-cpu-limit,100,
575,yarn.nodemanager.resource-monitor.interval-ms,3000,
576,yarn.nodemanager.container-log-monitor.interval-ms,60000,
577,yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,1000000000,
578,yarn.nodemanager.container-log-monitor.total-size-limit-bytes,10000000000,
579,yarn.nodemanager.health-checker.timeout-ms,1200000,
580,yarn.nodemanager.health-checker.interval-ms,600000,
581,yarn.nodemanager.disk-health-checker.interval-ms,120000,
582,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,0,
583,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,0,
584,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,20,
585,yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,1,
586,yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,1,
587,yarn.nodemanager.runtime.linux.docker.stop.grace-period,10,
588,yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,100,
589,yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,600,
590,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs,60,
591,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.num-manifests-to-cache,10,
592,yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-timeout-interval-secs,360,
593,yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-size,500,
594,yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,1000,
595,yarn.nodemanager.aux-services.manifest.reload-ms,0,
596,yarn.nodemanager.sleep-delay-before-sigkill.ms,250,
597,yarn.nodemanager.process-kill-wait.ms,5000,
598,yarn.nodemanager.container-diagnostics-maximum-size,10000,
599,yarn.nodemanager.container-retry-minimum-interval-ms,1000,
600,yarn.client.nodemanager-client-async.thread-pool-max-size,500,
601,yarn.client.nodemanager-connect.max-wait-ms,180000,
602,yarn.client.nodemanager-connect.retry-interval-ms,10000,
603,yarn.client.max-cached-nodemanagers-proxies,0,
604,yarn.nodemanager.recovery.compaction-interval-secs,3600,
605,yarn.nodemanager.container-metrics.unregister-delay-ms,10000,
606,yarn.nodemanager.log.deletion-threads-count,4,
607,yarn.resourcemanager.proxy.connection.timeout,60000,
608,yarn.timeline-service.generic-application-history.max-applications,10000,
609,yarn.timeline-service.ttl-ms,604800000,
610,yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,300000,
611,yarn.timeline-service.leveldb-timeline-store.read-cache-size,104857600,
612,yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,10000,
613,yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,10000,
614,yarn.timeline-service.handler-thread-count,10,
615,yarn.timeline-service.client.max-retries,30,
616,yarn.timeline-service.client.retry-interval-ms,1000,
617,yarn.timeline-service.client.drain-entities.timeout.ms,2000,
618,yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,60,
619,yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,3600,
620,yarn.timeline-service.entity-group-fs-store.retain-seconds,604800,
621,yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,10485760,
622,yarn.timeline-service.entity-group-fs-store.app-cache-size,10,
623,yarn.timeline-service.client.fd-flush-interval-secs,10,
624,yarn.timeline-service.client.fd-clean-interval-secs,60,
625,yarn.timeline-service.client.fd-retain-secs,300,
626,yarn.timeline-service.client.internal-timers-ttl-secs,420,
627,yarn.timeline-service.writer.flush-interval-seconds,60,
628,yarn.timeline-service.writer.async.queue.capacity,100,
629,yarn.timeline-service.app-collector.linger-period.ms,60000,
630,yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,10,
631,yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,259200000,
632,yarn.timeline-service.app-aggregation-interval-secs,15,
633,yarn.timeline-service.flowname.max-size,0,
634,yarn.sharedcache.nested-level,3,
635,yarn.sharedcache.store.in-memory.staleness-period-mins,10080,
636,yarn.sharedcache.store.in-memory.initial-delay-mins,10,
637,yarn.sharedcache.store.in-memory.check-period-mins,720,
638,yarn.sharedcache.admin.thread-count,1,
639,yarn.sharedcache.cleaner.period-mins,1440,
640,yarn.sharedcache.cleaner.initial-delay-mins,10,
641,yarn.sharedcache.cleaner.resource-sleep-ms,0,
642,yarn.sharedcache.uploader.server.thread-count,50,
643,yarn.sharedcache.client-server.thread-count,50,
644,yarn.sharedcache.nm.uploader.replication.factor,10,
645,yarn.sharedcache.nm.uploader.thread-count,20,
646,yarn.minicluster.yarn.nodemanager.resource.memory-mb,4096,
647,yarn.nodemanager.node-labels.provider.fetch-interval-ms,600000,
648,yarn.nodemanager.node-labels.resync-interval-ms,120000,
649,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,1200000,
650,yarn.resourcemanager.node-labels.provider.fetch-interval-ms,1800000,
651,yarn.nodemanager.node-attributes.provider.fetch-interval-ms,600000,
652,yarn.nodemanager.node-attributes.provider.fetch-timeout-ms,1200000,
653,yarn.nodemanager.node-attributes.resync-interval-ms,120000,
654,yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,3600,
655,yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs,20,
656,yarn.federation.cache-ttl.secs,300,
657,yarn.client.application-client-protocol.poll-interval-ms,200,
658,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds.min,3600,
659,yarn.nodemanager.log-aggregation.num-log-files-per-app,30,
660,yarn.cluster.max-application-priority,0,
661,yarn.nodemanager.amrmproxy.client.thread-count,25,
662,yarn.resourcemanager.opportunistic-container-allocation.nodes-used,10,
663,yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,1000,
664,yarn.resourcemanager.nm-container-queuing.min-queue-length,5,
665,yarn.resourcemanager.nm-container-queuing.max-queue-length,15,
666,yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms,10,
667,yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,100,
668,yarn.nodemanager.container.stderr.tail.bytes,4096,
669,yarn.resourcemanager.node-removal-untracked.timeout-ms,60000,
670,yarn.resourcemanager.application-timeouts.monitor.interval-ms,3000,
671,yarn.app.attempt.diagnostics.limit.kc,64,
672,yarn.router.interceptor.user.threadpool-size,5,
673,yarn.router.pipeline.cache-max-size,25,
674,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,86400,
675,yarn.scheduler.configuration.store.max-logs,1000,
676,yarn.scheduler.configuration.max.version,100,
677,yarn.nodemanager.elastic-memory-control.timeout-sec,5,
678,yarn.resourcemanager.activities-manager.cleanup-interval-ms,5000,
679,yarn.resourcemanager.activities-manager.scheduler-activities.ttl-ms,600000,
680,yarn.resourcemanager.activities-manager.app-activities.ttl-ms,600000,
681,yarn.resourcemanager.activities-manager.app-activities.max-queue-length,100,
682,yarn.resourcemanager.submission-preprocessor.file-refresh-interval-ms,60000,
683,yarn.resourcemanager.application.max-tags,10,
684,yarn.resourcemanager.application.max-tag.length,100,
